dept_id,univ_id,department,category
003292,003,電機資訊學院學士班,學士班;電機資訊;電機
003302,003,生物產業機電工程學系,機電工程;生命科學
003312,003,水土保持學系,水土保持
003322,003,食品暨應用生物科技學系,生命科學;食品;生物科技
003332,003,農藝學系,農藝
003342,003,園藝學系,園藝
003352,003,森林學系林學組,森林
003362,003,森林學系木材科學組,森林
003372,003,植物病理學系,植物保護
003382,003,昆蟲學系,昆蟲
003392,003,動物科學系,動物科學
003402,003,土壤環境科學系,環境科學;土壤
003412,003,生物科技學士學位學程,學士班;生命科學;生物科技
003422,003,景觀與遊憩學士學位學程,學士班;景觀
003432,003,國際農企業學士學位學程,學士班
003442,003,生命科學系,生命科學
003452,003,獸醫學系,獸醫;醫學
003462,003,興翼招生A組(商學管理),招生;商學;管理
003472,003,興翼招生B組(文史法律),招生;法律
003482,003,興翼招生C組(化學數學),招生;數學;化學
003492,003,興翼招生D組(化材電資暨工程),招生
003502,003,興翼招生E組(生物資源暨農業科技),招生;生命科學;生物資源
003512,003,興翼招生F組(生物科技暨獸醫),招生;生命科學;獸醫;生物科技
004012,004,中國文學系,中文;文學
004022,004,外國語文學系,外國語文;文學
004032,004,歷史學系,歷史
004042,004,台灣文學系,文學;台灣
004052,004,數學系,數學
004062,004,物理學系,物理
004072,004,化學系,化學
004082,004,地球科學系,地球科學
004092,004,光電科學與工程學系,光電
004102,004,機械工程學系,機械
004112,004,機械工程學系(普渡雙聯組),機械
004122,004,化學工程學系,化學;化學工程
004132,004,材料科學及工程學系,材料
004142,004,資源工程學系,土木;能源;機械
004152,004,土木工程學系,土木
004162,004,水利及海洋工程學系,水利工程;船舶工程
004172,004,工程科學系,工程科學
004182,004,系統及船舶機電工程學系,機電工程;船舶工程
004192,004,航空太空工程學系,航太工程
004202,004,能源工程國際學士學位學程,學士班;能源
004212,004,環境工程學系,環境工程
004222,004,測量及空間資訊學系,測量
004232,004,生物醫學工程學系,生醫工程
004242,004,工業與資訊管理學系,管理;資管
004252,004,工業與資訊管理學系(APCS組),管理;資管
004262,004,交通管理科學系,管理;交通運輸
004272,004,統計學系,統計
004282,004,會計學系,會計
004292,004,企業管理學系,管理;企管
004302,004,醫學系,醫學
004312,004,醫學系(公費生),醫學
004322,004,牙醫學系,醫學;牙醫
004332,004,醫學檢驗生物技術學系,生命科學;生物科技;醫學檢驗
004342,004,護理學系,護理
004352,004,物理治療學系,物理;物理治療
004362,004,職能治療學系,職能治療
004372,004,藥學系,藥學
004382,004,政治學系,政治
004392,004,經濟學系,經濟
004402,004,法律學系,法律
004412,004,心理學系,心理學
004422,004,電機工程學系,電機
004432,004,電機工程學系(普渡雙聯組),電機
004442,004,資訊工程學系,資訊工程
004452,004,資訊工程學系(智慧系統組),資訊工程
004462,004,資訊工程學系(普渡雙聯組),資訊工程
004472,004,建築學系,建築
004482,004,都市計劃學系,都市計畫
004492,004,工業設計學系,設計;工業設計
004502,004,生命科學系,生命科學
004512,004,生物科技與產業科學系,生命科學;生物科技
004522,004,生物科技與產業科學系(APCS組),生命科學;生物科技
004532,004,全校不分系學士學位學程,不分系;學士班
004542,004,成星招生甲組(文社),招生
004552,004,成星招生乙組(管理),管理
004562,004,成星招生丙組(理),招生
004572,004,成星招生丁組(工),招生
004582,004,成星招生戊組(生醫),招生
005012,005,中國文學系,中文;文學
005022,005,歷史學系,歷史
005032,005,哲學系,哲學
005042,005,政治學系,政治
005052,005,社會學系,社會學
005062,005,社會工作學系,社會工作
005072,005,英文學系,英文;文學
005082,005,日本語文學系,日文;文學
005092,005,德國文化學系,中文;文化;化學
005102,005,數學系,數學
005112,005,物理學系,物理
005122,005,化學系,化學
005132,005,微生物學系,生命科學;微生物
005142,005,心理學系,心理學
005152,005,法律學系,法律
005162,005,經濟學系,經濟
005172,005,會計學系,會計
005182,005,企業管理學系,管理;企管
005192,005,國際經營與貿易學系,管理;貿易
005202,005,財務工程與精算數學系,財務工程;精算;數學
005212,005,資訊管理學系,管理;資管
005222,005,資訊管理學系(APCS組),管理;資管
005232,005,資料科學系,資料科學
005242,005,音樂學系,音樂
006012,006,中國文學系,中文;文學
006022,006,歷史學系,歷史
006032,006,哲學系,哲學
006042,006,教育學系,教育
006052,006,政治學系,政治
006062,006,社會學系,社會學
006072,006,財政學系,財稅
006082,006,公共行政學系,公共行政
006092,006,地政學系土地資源規劃組,地政;土地
006102,006,地政學系土地管理組,地政;土地;管理
006112,006,地政學系土地測量與資訊組,地政;土地;測量
006122,006,經濟學系,經濟
006132,006,民族學系,民族研究
006142,006,外交學系,國際關係
006152,006,國際經營與貿易學系,管理;貿易
006162,006,金融學系,金融
006172,006,會計學系,會計
006182,006,統計學系(甲組),統計
006192,006,統計學系(乙組),統計
006202,006,企業管理學系,管理;企管
006212,006,資訊管理學系,管理;資管
006222,006,財務管理學系,管理
006232,006,風險管理與保險學系,管理;風險管理;保險
006242,006,傳播學院大一大二不分系(社會組),不分系;傳播
006252,006,傳播學院大一大二不分系(自然組),不分系;傳播
006262,006,英國語文學系,文學
006272,006,阿拉伯語文學系,文學
006282,006,斯拉夫語文學系,文學
006292,006,日本語文學系,日文;文學
006302,006,韓國語文學系,韓文;文學
006312,006,土耳其語文學系,文學
006322,006,歐洲語文學系法文組,文學
006332,006,歐洲語文學系德文組,文學
006342,006,歐洲語文學系西班牙文組,文學
006352,006,東南亞語文學系越文組,文學
006362,006,東南亞語文學系泰文組,文學
006372,006,東南亞語文學系印尼文組,文學
006382,006,法律學系,法律
006392,006,應用數學系,數學
006402,006,心理學系,心理學
006412,006,資訊科學系,資訊科學
006422,006,資訊科學系(APCS組),資訊科學
006432,006,資訊科學系(資安組),資訊科學;資訊安全
006442,006,創新國際學院學士班,學士班;創業
006452,006,政星招生(甲組),招生
006462,006,政星招生(乙組),招生
007012,007,醫學系,醫學
007022,007,運動醫學系,醫學
007032,007,呼吸治療學系,呼吸治療
007042,007,牙醫學系,醫學;牙醫
007052,007,口腔衛生學系,公共衛生
007062,007,藥學系,藥學
007072,007,香粧品學系,招生
007082,007,護理學系,護理
007092,007,公共衛生學系,公共衛生
007102,007,醫學檢驗生物技術學系,生命科學;生物科技;醫學檢驗
007112,007,醫學影像暨放射科學系,醫學;醫學影像
007122,007,職能治療學系,職能治療
007132,007,物理治療學系,物理;物理治療
007142,007,醫務管理暨醫療資訊學系,醫療資訊;管理;健康管理
007152,007,醫務管理暨醫療資訊學系(APCS組),醫療資訊;管理;健康管理
007162,007,醫藥暨應用化學系應用化學組,化學
007172,007,醫藥暨應用化學系醫藥化學組,化學
007182,007,生物醫學暨環境生物學系,環境;生命科學;醫學
007192,007,生物科技學系,生命科學;生物科技
007202,007,生命科學院學士班,學士班;生命科學
007212,007,心理學系,心理學
007222,007,醫學社會學與社會工作學系,社會學;社會工作;醫學
007232,007,薪火招生A1組(醫學系),招生;醫學
007242,007,薪火招生A2組(牙醫學系),招生;醫學;牙醫
007252,007,薪火招生A3組(藥學系),招生;藥學
007262,007,薪火招生B組(醫事證照類),招生;醫事
007272,007,薪火招生C組(運醫、醫化與香粧品學系),招生
007282,007,薪火招生D組(人文社會科學類),招生
007292,007,薪火招生E組(生命科學類),招生;生命科學
007302,007,薪火招生F組(口衛、公衛與醫管資學系),招生
007312,007,醫學系(公費生),醫學
008012,008,應用數學系,數學
008022,008,物理學系物理組,物理
008032,008,物理學系光電與材料科學組,物理;光電;材料
008042,008,化學系化學組,化學
008052,008,化學系材料化學組,化學;材料
008062,008,心理學系,心理學
008072,008,生物科技學系,生命科學;生物科技
008082,008,化學工程學系綠能製程組,化學;化學工程;能源
008092,008,化學工程學系生化工程組,化學;化學工程
008102,008,化學工程學系材料工程組,化學;化學工程;材料
008112,008,土木工程學系,土木
008122,008,機械工程學系,機械
008132,008,生物醫學工程學系,生醫工程
008142,008,環境工程學系,環境工程
008152,008,電機資訊學院學士班,學士班;電機資訊;電機
008162,008,工業與系統工程學系工程組,系統工程
008172,008,工業與系統工程學系管理組,管理;系統工程
008182,008,電子工程學系,電子
008192,008,資訊工程學系,資訊工程
008202,008,電機工程學系,電機
008212,008,中原大學美國威大密爾瓦基分校電機與資訊工程雙學士學位學程,學士班;資訊工程;電機
008222,008,電機資訊學院智慧運算與大數據學士班,學士班;大數據;電機資訊;電機
