dept_id,univ_id,department,學群,學類,category_id
002322,002,地球科學系,地球與環境學群,地質地球與環境科學學類,0703
002332,002,資訊工程學系,資訊學群,資訊工程學類,0101
002342,002,資訊工程學系(APCS組),資訊學群,資訊工程學類,0101
002352,002,資訊工程學系(資安組),資訊學群,資訊工程學類,0101
002362,002,營養科學學士學位學程,醫藥衛生學群,食品營養保健學類,0410
002372,002,科技應用與人力資源發展學系,管理學群,工業工程與管理學類,1603
002382,002,圖文傳播學系,大眾傳播學群,大眾傳播學類,1102
002392,002,機電工程學系,工程學群,工程科學學類,0205
002402,002,電機工程學系,工程學群,電機工程學類,0201
002412,002,光電工程學士學位學程,工程學群,光電學類,0202
002422,002,光電工程學士學位學程(青年儲蓄帳戶組),工程學群,光電學類,0202
002432,002,華語文教學系應用華語文學組,文史哲學群,華語文教育學類,1309
002442,002,東亞學系,文史哲學群,史地學類,1308
002452,002,企業管理學系,管理學群,企業管理學類,1608
002462,002,設計學系產品設計組,建築與設計學群,工業設計學類,0805
002472,002,晨光招生(學習科學學士學位學程),不分系學群,不分系學類,1901
002482,002,晨光招生(生命科學系),不分系學群,不分系學類,1901
002492,002,晨光招生(光電工程學士學位學程),不分系學群,不分系學類,1901
002502,002,晨光招生(企業管理學系),不分系學群,不分系學類,1901
002512,002,晨光招生(表演藝術學系),不分系學群,不分系學類,1901
002522,002,體育與運動科學系(青年儲蓄帳戶組),遊憩與運動學群,體育學類,1802
002532,002,音樂學系,藝術學群,音樂學類,0902
002542,002,表演藝術學系,藝術學群,表演藝術學類,0903
002552,002,設計學系視覺設計組,建築與設計學群,商業設計學類,0807
002562,002,美術學系繪畫組,藝術學群,美術學類,0901
002572,002,美術學系水墨畫組,藝術學群,美術學類,0901
002582,002,體育與運動科學系,遊憩與運動學群,體育學類,1802
003012,003,中國文學系,文史哲學群,中國語文學類,1304
003022,003,外國語文學系,外語學群,英語文學類,1201
003032,003,歷史學系,文史哲學群,歷史學類,1305
003042,003,台灣人文創新學士學位學程,文史哲學群,文化與產業學類,1303
003052,003,財務金融學系,財經學群,財務金融學類,1703
003062,003,企業管理學系,管理學群,企業管理學類,1608
003072,003,資訊管理學系,管理學群,資訊管理學類,1601
003082,003,資訊管理學系(APCS組),管理學群,資訊管理學類,1601
003092,003,會計學系,財經學群,會計學類,1702
003102,003,行銷學系,管理學群,行銷經營學類,1609
003112,003,應用經濟學系,財經學群,經濟學類,1707
003122,003,法律學系,法政學群,法律學類,1502
003132,003,化學系,數理化學群,化學學類,0302
003142,003,物理學系一般物理組,數理化學群,物理學類,0303
003152,003,物理學系光電物理組,數理化學群,物理學類,0303
003162,003,應用數學系應用數學組,數理化學群,數學學類,0301
003172,003,應用數學系數據科學與計算組,數理化學群,數學學類,0301
003182,003,應用數學系數據科學與計算組(資安組),數理化學群,數學學類,0301
003192,003,機械工程學系,工程學群,機械工程學類,0206
003202,003,土木工程學系,工程學群,土木工程學類,0208
003212,003,環境工程學系,地球與環境學群,環境工程學類,0702
003222,003,化學工程學系,工程學群,化學工程學類,0210
003232,003,材料科學與工程學系,工程學群,材料工程學類,0211
003242,003,智慧創意工程學士學位學程,工程學群,工程科學學類,0205
003252,003,電機工程學系,工程學群,電機工程學類,0201
003262,003,資訊工程學系,資訊學群,資訊工程學類,0101
003272,003,資訊工程學系(APCS組),資訊學群,資訊工程學類,0101
003282,003,資訊工程學系(資安組),資訊學群,資訊工程學類,0101
003292,003,電機資訊學院學士班,資訊學群,資訊工程學類,0101
003302,003,生物產業機電工程學系,工程學群,工程科學學類,0205
003312,003,水土保持學系,地球與環境學群,綠環境與防災學類,0707
003322,003,食品暨應用生物科技學系,生命科學學群,食品生技學類,0508
003332,003,農藝學系,生物資源學群,農藝學類,0604
003342,003,園藝學系,生物資源學群,園藝學類,0606
003352,003,森林學系林學組,生物資源學群,森林學類,0607
003362,003,森林學系木材科學組,生物資源學群,森林學類,0607
003372,003,植物病理學系,生物資源學群,植物保護與昆蟲學類,0602
003382,003,昆蟲學系,生物資源學群,植物保護與昆蟲學類,0602
003392,003,動物科學系,生物資源學群,動物科學學類,0605
003402,003,土壤環境科學系,地球與環境學群,地質地球與環境科學學類,0703
003412,003,生物科技學士學位學程,生命科學學群,生物科技學類,0505
003422,003,景觀與遊憩學士學位學程,建築與設計學群,景觀與空間設計學類,0804
003432,003,國際農企業學士學位學程,管理學群,國際企業學類,1704
003442,003,生命科學系,生命科學學群,生命科學學類,0504
003452,003,獸醫學系,醫藥衛生學群,獸醫學類,0415
003462,003,興翼招生A組(商學管理),不分系學群,不分系學類,1901
003472,003,興翼招生B組(文史法律),不分系學群,不分系學類,1901
003482,003,興翼招生C組(化學數學),不分系學群,不分系學類,1901
003492,003,興翼招生D組(化材電資暨工程),不分系學群,不分系學類,1901
