req_id,dept_id,exam_year,subject_id,require_level
252,001432,115,0,前標
253,001432,115,1,前標
254,001432,115,2,前標
255,001432,115,3,
256,001432,115,4,
257,001432,115,5,
258,001442,115,0,均標
259,001442,115,1,均標
260,001442,115,2,均標
261,001442,115,3,
262,001442,115,4,
263,001442,115,5,均標
264,001452,115,0,均標
265,001452,115,1,前標
266,001452,115,2,均標
267,001452,115,3,
268,001452,115,4,
269,001452,115,5,前標
270,001462,115,0,前標
271,001462,115,1,前標
272,001462,115,2,均標
273,001462,115,3,
274,001462,115,4,前標
275,001462,115,5,
276,001472,115,0,
277,001472,115,1,
278,001472,115,2,
279,001472,115,3,
280,001472,115,4,
281,001472,115,5,
282,001482,115,0,均標
283,001482,115,1,均標
284,001482,115,2,均標
285,001482,115,3,
286,001482,115,4,
287,001482,115,5,均標
288,001492,115,0,均標
289,001492,115,1,均標
290,001492,115,2,均標
291,001492,115,3,
292,001492,115,4,
293,001492,115,5,均標
294,001502,115,0,
295,001502,115,1,頂標
296,001502,115,2,前標
297,001502,115,3,
298,001502,115,4,
299,001502,115,5,
300,001512,115,0,
301,001512,115,1,頂標
302,001512,115,2,前標
303,001512,115,3,
304,001512,115,4,
305,001512,115,5,
306,001522,115,0,頂標
307,001522,115,1,頂標
308,001522,115,2,頂標
309,001522,115,3,
310,001522,115,4,
311,001522,115,5,
312,001532,115,0,頂標
313,001532,115,1,頂標
314,001532,115,2,頂標
315,001532,115,3,
316,001532,115,4,
317,001532,115,5,
318,001542,115,0,
319,001542,115,1,頂標
320,001542,115,2,前標
321,001542,115,3,
322,001542,115,4,
323,001542,115,5,
324,001552,115,0,
325,001552,115,1,頂標
326,001552,115,2,頂標
327,001552,115,3,
328,001552,115,4,
329,001552,115,5,
330,001562,115,0,
331,001562,115,1,
332,001562,115,2,
333,001562,115,3,
334,001562,115,4,
335,001562,115,5,
336,001572,115,0,
337,001572,115,1,
338,001572,115,2,
339,001572,115,3,
340,001572,115,4,
341,001572,115,5,
342,001582,115,0,
343,001582,115,1,
344,001582,115,2,
345,001582,115,3,
346,001582,115,4,
347,001582,115,5,
348,001592,115,0,
349,001592,115,1,
350,001592,115,2,
351,001592,115,3,
352,001592,115,4,
353,001592,115,5,
354,001602,115,0,頂標
355,001602,115,1,頂標
356,001602,115,2,
357,001602,115,3,前標
358,001602,115,4,頂標
359,001602,115,5,
360,001612,115,0,頂標
361,001612,115,1,頂標
362,001612,115,2,
363,001612,115,3,前標
364,001612,115,4,頂標
365,001612,115,5,
366,001622,115,0,頂標
367,001622,115,1,頂標
368,001622,115,2,
369,001622,115,3,前標
370,001622,115,4,頂標
371,001622,115,5,
372,001632,115,0,前標
373,001632,115,1,
374,001632,115,2,前標
375,001632,115,3,
376,001632,115,4,
377,001632,115,5,
378,001642,115,0,均標
379,001642,115,1,均標
380,001642,115,2,均標
381,001642,115,3,
382,001642,115,4,
383,001642,115,5,均標
384,001652,115,0,均標
385,001652,115,1,均標
386,001652,115,2,
387,001652,115,3,均標
388,001652,115,4,均標
389,001652,115,5,
390,001662,115,0,前標
391,001662,115,1,前標
392,001662,115,2,
393,001662,115,3,均標
394,001662,115,4,均標
395,001662,115,5,
396,001672,115,0,
397,001672,115,1,
398,001672,115,2,
399,001672,115,3,
400,001672,115,4,
401,001672,115,5,
402,001682,115,0,均標
403,001682,115,1,均標
404,001682,115,2,前標
405,001682,115,3,
406,001682,115,4,
407,001682,115,5,前標
408,001692,115,0,前標
409,001692,115,1,前標
410,001692,115,2,前標
411,001692,115,3,
412,001692,115,4,
413,001692,115,5,前標
414,001702,115,0,均標
415,001702,115,1,均標
416,001702,115,2,前標
417,001702,115,3,
418,001702,115,4,
419,001702,115,5,前標
420,001712,115,0,前標
421,001712,115,1,前標
422,001712,115,2,前標
423,001712,115,3,
424,001712,115,4,均標
425,001712,115,5,
426,001722,115,0,均標
427,001722,115,1,均標
428,001722,115,2,均標
429,001722,115,3,
430,001722,115,4,
431,001722,115,5,均標
432,001732,115,0,
433,001732,115,1,
434,001732,115,2,
435,001732,115,3,
436,001732,115,4,
437,001732,115,5,
438,002012,115,0,前標
439,002012,115,1,前標
440,002012,115,2,
441,002012,115,3,均標
442,002012,115,4,均標
443,002012,115,5,
444,002022,115,0,前標
445,002022,115,1,前標
446,002022,115,2,
447,002022,115,3,均標
448,002022,115,4,均標
449,002022,115,5,
450,002032,115,0,前標
451,002032,115,1,前標
452,002032,115,2,
453,002032,115,3,均標
454,002032,115,4,前標
455,002032,115,5,
456,002042,115,0,前標
457,002042,115,1,前標
458,002042,115,2,
459,002042,115,3,
460,002042,115,4,
461,002042,115,5,
462,002052,115,0,均標
463,002052,115,1,均標
464,002052,115,2,
465,002052,115,3,
466,002052,115,4,
467,002052,115,5,
468,002062,115,0,均標
469,002062,115,1,均標
470,002062,115,2,
471,002062,115,3,均標
