dept_id,univ_id,department
004432,004,電機工程學系(普渡雙聯組)
004442,004,資訊工程學系
004452,004,資訊工程學系(智慧系統組)
004462,004,資訊工程學系(普渡雙聯組)
004472,004,建築學系
004482,004,都市計劃學系
004492,004,工業設計學系
004502,004,生命科學系
004512,004,生物科技與產業科學系
004522,004,生物科技與產業科學系(APCS組)
004532,004,全校不分系學士學位學程
004542,004,成星招生甲組(文社)
004552,004,成星招生乙組(管理)
004562,004,成星招生丙組(理)
004572,004,成星招生丁組(工)
004582,004,成星招生戊組(生醫)
005012,005,中國文學系
005022,005,歷史學系
005032,005,哲學系
005042,005,政治學系
005052,005,社會學系
005062,005,社會工作學系
005072,005,英文學系
005082,005,日本語文學系
005092,005,德國文化學系
005102,005,數學系
005112,005,物理學系
005122,005,化學系
005132,005,微生物學系
005142,005,心理學系
005152,005,法律學系
005162,005,經濟學系
005172,005,會計學系
005182,005,企業管理學系
005192,005,國際經營與貿易學系
005202,005,財務工程與精算數學系
005212,005,資訊管理學系
005222,005,資訊管理學系(APCS組)
005232,005,資料科學系
005242,005,音樂學系
006012,006,中國文學系
006022,006,歷史學系
006032,006,哲學系
006042,006,教育學系
006052,006,政治學系
006062,006,社會學系
006072,006,財政學系
006082,006,公共行政學系
006092,006,地政學系土地資源規劃組
006102,006,地政學系土地管理組
006112,006,地政學系土地測量與資訊組
006122,006,經濟學系
006132,006,民族學系
006142,006,外交學系
006152,006,國際經營與貿易學系
006162,006,金融學系
006172,006,會計學系
006182,006,統計學系(甲組)
006192,006,統計學系(乙組)
006202,006,企業管理學系
006212,006,資訊管理學系
006222,006,財務管理學系
006232,006,風險管理與保險學系
006242,006,傳播學院大一大二不分系(社會組)
006252,006,傳播學院大一大二不分系(自然組)
006262,006,英國語文學系
006272,006,阿拉伯語文學系
006282,006,斯拉夫語文學系
006292,006,日本語文學系
006302,006,韓國語文學系
006312,006,土耳其語文學系
006322,006,歐洲語文學系法文組
006332,006,歐洲語文學系德文組
006342,006,歐洲語文學系西班牙文組
006352,006,東南亞語文學系越文組
006362,006,東南亞語文學系泰文組
006372,006,東南亞語文學系印尼文組
006382,006,法律學系
006392,006,應用數學系
006402,006,心理學系
006412,006,資訊科學系
006422,006,資訊科學系(APCS組)
006432,006,資訊科學系(資安組)
006442,006,創新國際學院學士班
006452,006,政星招生(甲組)
006462,006,政星招生(乙組)
007012,007,醫學系
007022,007,運動醫學系
007032,007,呼吸治療學系
007042,007,牙醫學系
007052,007,口腔衛生學系
007062,007,藥學系
007072,007,香粧品學系
007082,007,護理學系
007092,007,公共衛生學系
007102,007,醫學檢驗生物技術學系
007112,007,醫學影像暨放射科學系
007122,007,職能治療學系
007132,007,物理治療學系
007142,007,醫務管理暨醫療資訊學系
007152,007,醫務管理暨醫療資訊學系(APCS組)
007162,007,醫藥暨應用化學系應用化學組
007172,007,醫藥暨應用化學系醫藥化學組
007182,007,生物醫學暨環境生物學系
007192,007,生物科技學系
007202,007,生命科學院學士班
007212,007,心理學系
007222,007,醫學社會學與社會工作學系
007232,007,薪火招生A1組(醫學系)
007242,007,薪火招生A2組(牙醫學系)
007252,007,薪火招生A3組(藥學系)
007262,007,薪火招生B組(醫事證照類)
007272,007,薪火招生C組(運醫、醫化與香粧品學系)
007282,007,薪火招生D組(人文社會科學類)
007292,007,薪火招生E組(生命科學類)
007302,007,薪火招生F組(口衛、公衛與醫管資學系)
007312,007,醫學系(公費生)
008012,008,應用數學系
008022,008,物理學系物理組
008032,008,物理學系光電與材料科學組
008042,008,化學系化學組
008052,008,化學系材料化學組
008062,008,心理學系
008072,008,生物科技學系
008082,008,化學工程學系綠能製程組
008092,008,化學工程學系生化工程組
008102,008,化學工程學系材料工程組
008112,008,土木工程學系
008122,008,機械工程學系
008132,008,生物醫學工程學系
008142,008,環境工程學系
008152,008,電機資訊學院學士班
008162,008,工業與系統工程學系工程組
008172,008,工業與系統工程學系管理組
008182,008,電子工程學系
008192,008,資訊工程學系
008202,008,電機工程學系
008212,008,中原大學美國威大密爾瓦基分校電機與資訊工程雙學士學位學程
008222,008,電機資訊學院智慧運算與大數據學士班
008232,008,企業管理學系服務業管理組
008242,008,企業管理學系高科技業管理組
008252,008,企業管理學系工商管理組
008262,008,國際經營與貿易學系
008272,008,會計學系
008282,008,資訊管理學系
008292,008,財務金融學系
008302,008,中原大學與美國天普大學商學管理雙學士學位學程
008312,008,財經法律學系財貿法組
008322,008,財經法律學系科技法組
008332,008,建築學系
008342,008,室內設計學系
008352,008,商業設計學系商業設計組
008362,008,商業設計學系產品設計組乙類
008372,008,地景建築學系
008382,008,英國牛津布魯克斯大學建築及都市設計雙學士學位學程
008392,008,特殊教育學系
008402,008,應用外國語文學系
008412,008,應用華語文學系
008422,008,商業設計學系產品設計組甲類
009012,009,中國文學系
009022,009,外國語文學系
009032,009,歷史學系
009042,009,日本語言文化學系
009052,009,哲學系
009062,009,應用物理學系
009072,009,化學系化學組
009082,009,化學系化學生物組
009092,009,生命科學系生物醫學組
009102,009,生命科學系生態暨生物多樣性組
009112,009,智慧計算暨應用數學系(A組)
009122,009,智慧計算暨應用數學系(B組)
009132,009,化學工程與材料工程學系
009142,009,工業工程與經營資訊學系(智慧設計與生產組)
009152,009,工業工程與經營資訊學系(智慧經營與管理組)
009162,009,環境科學與工程學系
009172,009,資訊工程學系
009182,009,資訊工程學系(APCS組)
009192,009,電機工程學系
009202,009,企業管理學系
009212,009,國際經營與貿易學系
009222,009,會計學系
009232,009,財務金融學系
009242,009,統計學系(巨量資料管理組)
009252,009,統計學系(決策管理組)
009262,009,資訊管理學系
009272,009,經濟學系
009282,009,政治學系
009292,009,行政管理暨政策學系
009302,009,社會學系
009312,009,社會工作學系
009322,009,畜產與生物科技學系
009332,009,食品科學系
009342,009,餐旅管理學系
009352,009,高齡健康與運動科學學士學位學程
009362,009,建築學系
009372,009,工業設計學系(A組)
