dept_id,univ_id,dept_name,category_id
003502,003,興翼招生E組(生物資源暨農業科技),1901
003512,003,興翼招生F組(生物科技暨獸醫),1901
004012,004,中國文學系,1304
004022,004,外國語文學系,1201
004032,004,歷史學系,1305
004042,004,台灣文學系,1307
004052,004,數學系,0301
004062,004,物理學系,0303
004072,004,化學系,0302
004082,004,地球科學系,0703
004092,004,光電科學與工程學系,0202
004102,004,機械工程學系,0206
004112,004,機械工程學系(普渡雙聯組),0206
004122,004,化學工程學系,0210
004132,004,材料科學及工程學系,0211
004142,004,資源工程學系,0205
004152,004,土木工程學系,0208
004162,004,土木工程學系(普渡雙聯組),0208
004172,004,水利及海洋工程學系,0209
004182,004,水利及海洋工程學系(普渡雙聯組),0209
004192,004,工程科學系,0205
004202,004,系統及船舶機電工程學系,0205
004212,004,航空太空工程學系,0207
004222,004,能源工程國際學士學位學程,0205
004232,004,環境工程學系,0702
004242,004,環境工程學系(普渡雙聯組),0702
004252,004,測量及空間資訊學系,0703
004262,004,測量及空間資訊學系(普渡雙聯組),0703
004272,004,生物醫學工程學系,0212
004282,004,工業與資訊管理學系,1603
004292,004,交通管理科學系,1610
004302,004,統計與資料科學學系,1701
004312,004,會計學系,1702
004322,004,企業管理學系,1608
004332,004,醫學系,0401
004342,004,醫學系(公費生),0401
004352,004,牙醫學系,0403
004362,004,醫學檢驗生物技術學系,0407
004372,004,護理學系,0406
004382,004,物理治療學系,0404
004392,004,職能治療學系,0405
004402,004,藥學系,0409
004412,004,政治學系,1504
004422,004,經濟學系,1707
004432,004,法律學系,1502
004442,004,法律學系(青年儲蓄帳戶組),1502
004452,004,心理學系,1001
004462,004,電機工程學系(甲組),0201
004472,004,電機工程學系(乙組),0201
004482,004,電機工程學系(普渡雙聯組),0201
004492,004,資訊工程學系,0101
004502,004,資訊工程學系(智慧系統組),0101
004512,004,資訊工程學系(普渡雙聯組),0101
004522,004,建築學系,0802
004532,004,都市計劃學系,0803
004542,004,工業設計學系,0805
004552,004,生命科學系,0504
004562,004,生物科技與產業科學系,0505
004572,004,生物科技與產業科學系(青年儲蓄帳戶組),0505
004582,004,生物科技與產業科學系(APCS組),0505
004592,004,全校不分系學士學位學程,1901
004602,004,全校不分系學士學位學程(運動科學組),1901
004612,004,成星招生甲組(文社),1901
004622,004,成星招生乙組(管理),1901
004632,004,成星招生丙組(理),1901
004642,004,成星招生丁組(工),1901
004652,004,成星招生戊組(生醫),1901
005012,005,中國文學系,1304
005022,005,歷史學系,1305
005032,005,哲學系,1306
005042,005,政治學系,1504
005052,005,社會學系,1002
005062,005,社會工作學系,1003
005072,005,英文學系,1201
005082,005,日本語文學系,1203
005092,005,德國文化學系,1202
005102,005,數學系,0301
005112,005,物理學系,0303
005122,005,化學系,0302
005132,005,微生物學系,0504
005142,005,心理學系,1001
005152,005,法律學系,1502
005162,005,經濟學系,1707
005172,005,會計學系,1702
005182,005,企業管理學系,1608
005192,005,國際經營與貿易學系,1704
005202,005,財務工程與精算數學系,1703
005212,005,資訊管理學系(資訊管理組),1601
005222,005,資訊管理學系(人工智慧組),1601
005232,005,資訊管理學系(APCS組),1601
005242,005,資料科學系,0307
005252,005,音樂學系,0902
006012,006,中國文學系,1304
006022,006,歷史學系,1305
006032,006,哲學系,1306
006042,006,教育學系,1407
006052,006,政治學系,1504
006062,006,社會學系,1002
006072,006,財政學系,1705
006082,006,公共行政學系,1505
006092,006,地政學系土地資源規劃組,1506
006102,006,地政學系土地管理組,1506
006112,006,地政學系土地測量與資訊組,1506
006122,006,經濟學系,1707
006132,006,民族學系,1004
006142,006,外交學系,1504
006152,006,國際經營與貿易學系,1704
006162,006,金融學系,1703
006172,006,會計學系,1702
006182,006,統計學系(甲組),1701
006192,006,統計學系(乙組),1701
006202,006,企業管理學系,1608
006212,006,資訊管理學系,1601
006222,006,財務管理學系,1703
006232,006,風險管理與保險學系,1706
006242,006,傳播學院大一大二不分系(社會組),1102
006252,006,傳播學院大一大二不分系(自然組),1102
006262,006,英國語文學系,1201
006272,006,阿拉伯語文學系,1204
006282,006,斯拉夫語文學系,1202
006292,006,日本語文學系,1203
006302,006,韓國語文學系,1204
006312,006,土耳其語文學系,1204
006322,006,歐洲語文學系法文組,1202
006332,006,歐洲語文學系德文組,1202
006342,006,歐洲語文學系西班牙文組,1202
006352,006,東南亞語文學系越文組,1204
006362,006,東南亞語文學系泰文組,1204
006372,006,東南亞語文學系印尼文組,1204
006382,006,法律學系,1502
006392,006,應用數學系,0301
006402,006,心理學系,1001
006412,006,資訊科學系,0101
006422,006,資訊科學系(跨領域組),0101
006432,006,資訊科學系(APCS組),0101
006442,006,資訊科學系(資安組),0101
006452,006,創新國際學院學士班,1608
006462,006,政星招生(甲組),1901
006472,006,政星招生(乙組),1901
007012,007,醫學系,0401
007022,007,運動醫學系,0417
007032,007,呼吸治療學系,0411
007042,007,牙醫學系,0403
007052,007,口腔衛生學系,0412
007062,007,口腔衛生學系(英語組),0412
007072,007,藥學系,0409
007082,007,香粧品學系,0413
007092,007,護理學系,0406
007102,007,公共衛生學系,0402
007112,007,醫學檢驗生物技術學系,0407
007122,007,醫學影像暨放射科學系,0408
007132,007,職能治療學系,0405
007142,007,物理治療學系,0404
007152,007,醫務管理暨醫療資訊學系,0416
007162,007,醫務管理暨醫療資訊學系(APCS組),0416
007172,007,醫藥暨應用化學系應用化學組,0503
007182,007,醫藥暨應用化學系醫藥化學組,0503
007192,007,生物醫學暨環境生物學系,0504
007202,007,生物科技學系,0505
007212,007,生命科學院學士班(英語組),0504
007222,007,心理學系,1001
007232,007,醫學社會學與社會工作學系,1003
007242,007,薪火招生(醫學系),1901
007252,007,薪火招生(牙醫學系),1901
007262,007,薪火招生(藥學系),1901
007272,007,薪火招生(運動醫學系),1901
007282,007,薪火招生B組(醫事證照類),1901
007292,007,薪火招生C組(應化、醫化與香粧品學系),1901
007302,007,薪火招生D組(人文社會科學類),1901
007312,007,薪火招生E組(生命科學類),1901
007322,007,薪火招生F組(口衛、公衛與醫管資學系),1901
008012,008,應用數學系,0301
008022,008,物理學系物理組,0303
008032,008,物理學系光電與材料科學組,0303
008042,008,化學系化學組,0302
008052,008,化學系材料化學組,0302
