dept_id,univ_id,univ_name,department,academic_cluster,category,category_id
047082,047,世新大學,資訊傳播學系,資訊學群,資訊傳播學類,0103
017452,017,中國文化大學,資訊傳播學系,資訊學群,資訊傳播學類,0103
134252,134,亞洲大學,資訊傳播學系,資訊學群,資訊傳播學類,0103
,040,元智大學,資訊傳播學系,資訊學群,資訊傳播學類,0103
014052,014,淡江大學,資訊傳播學系,資訊學群,資訊傳播學類,0103
079012,079,真理大學,人文與資訊學系,資訊學群,資訊傳播學類,0103
079202,079,真理大學,運動資訊傳播學系,資訊學群,資訊傳播學類,0103
110102,110,開南大學,資訊傳播學系,資訊學群,資訊傳播學類,0103
018372,018,靜宜大學,智慧媒體與創新科技應用學士學位學程,資訊學群,資訊傳播學類,0103
047092,047,世新大學,數位多媒體設計學系,資訊學群,數位媒體設計學類,0104
134352,134,亞洲大學,數位媒體設計學系,資訊學群,數位媒體設計學類,0104
032312,032,國立臺北教育大學,數位科技設計學系,資訊學群,數位媒體設計學類,0104
,028,國立臺北藝術大學,動畫學系,資訊學群,數位媒體設計學類,0104
,038,國立臺東大學,數位媒體與文教產業學系,資訊學群,數位媒體設計學類,0104
056202,056,國立臺灣藝術大學,多媒體動畫藝術學系,資訊學群,數位媒體設計學類,0104
019092,019,大同大學,數位媒體設計學系,資訊學群,數位媒體設計學類,0104
,042,大葉大學,AI創新設計學士學位學程,資訊學群,數位媒體設計學類,0104
,042,大葉大學,多媒體數位內容學士學位學程,資訊學群,數位媒體設計學類,0104
,050,實踐大學,媒體傳達設計學系,資訊學群,數位媒體設計學類,0104
,050,實踐大學,數位多媒體遊戲設計學系,資訊學群,數位媒體設計學類,0104
,050,實踐大學,視覺特效學士學位學程,資訊學群,數位媒體設計學類,0104
,050,實踐大學,電腦動畫學士學位學程,資訊學群,數位媒體設計學類,0104
,044,華梵大學,攝影與VR設計學系,資訊學群,數位媒體設計學類,0104
,046,銘傳大學,數位媒體設計學系,資訊學群,數位媒體設計學類,0104
,051,長榮大學,互動設計學系,資訊學群,數位媒體設計學類,0104
,051,長榮大學,數位內容設計學系,資訊學群,數位媒體設計學類,0104
,051,長榮大學,數位媒體設計學系,資訊學群,數位媒體設計學類,0104
,051,長榮大學,資訊暨設計學院學士班,資訊學群,數位媒體設計學類,0104
001062,001,國立臺灣大學,圖書資訊學系,資訊學群,圖書資訊學類,0105
014032,014,淡江大學,資訊與圖書館學系,資訊學群,圖書資訊學類,0105
020102,020,輔仁大學,圖書資訊學系,資訊學群,圖書資訊學類,0105
100072,100,國立嘉義大學,數位學習設計與管理學系,資訊學群,數位學習學類,0106
033122,033,國立臺南大學,數位學習科技學系,資訊學群,數位學習學類,0106
014062,014,淡江大學,教育科技學系,資訊學群,數位學習學類,0106
035052,035,臺北市立大學,學習與媒材設計學系,資訊學群,數位學習學類,0106
,047,世新大學,資訊管理學系,資訊學群,資訊管理學類,0107
113052,113,中信金融管理學院,科技金融學系,資訊學群,資訊管理學類,0107
008282,008,中原大學,資訊管理學系,資訊學群,資訊管理學類,0107
,017,中國文化大學,資訊管理學系,資訊學群,資訊管理學類,0107
,130,佛光大學,資訊應用學系,資訊學群,資訊管理學類,0107
040192,040,元智大學,資訊學院英語學士班,資訊學群,資訊管理學類,0107
040122,040,元智大學,資訊管理學系,資訊學群,資訊管理學類,0107
059492,059,南華大學,資訊管理學系,資訊學群,資訊管理學類,0107
016192,016,國立中央大學,資訊管理學系,資訊學群,資訊管理學類,0107
027242,027,國立中山大學,資訊管理學系,資訊學群,資訊管理學類,0107
041262,041,國立中正大學,資訊管理學系,資訊學群,資訊管理學類,0107
003072,003,國立中興大學,資訊管理學系,資訊學群,資訊管理學類,0107
100152,100,國立嘉義大學,資訊管理學系,資訊學群,資訊管理學類,0107
036352,036,國立屏東大學,資訊管理學系,資訊學群,資訊管理學類,0107
,023,國立彰化師範大學,資訊管理學系,資訊學群,資訊管理學類,0107
004282,004,國立成功大學,工業與資訊管理學系,資訊學群,資訊管理學類,0107
006212,006,國立政治大學,資訊管理學系,資訊學群,資訊管理學類,0107
058092,058,國立暨南國際大學,資訊管理學系,資訊學群,資訊管理學類,0107
,034,國立東華大學,資訊管理學系,資訊學群,資訊管理學類,0107
151172,151,國立聯合大學,資訊管理學系,資訊學群,資訊管理學類,0107
038132,038,國立臺東大學,資訊管理學系,資訊學群,資訊管理學類,0107
001552,001,國立臺灣大學,資訊管理學系,資訊學群,資訊管理學類,0107
,013,國立陽明交通大學,資訊管理與財務金融學系,資訊學群,資訊管理學類,0107
101122,101,國立高雄大學,資訊管理學系,資訊學群,資訊管理學類,0107
,042,大葉大學,會計與資訊管理學系,資訊學群,資訊管理學類,0107
,050,實踐大學,東南亞智慧商務學士學位學程,資訊學群,資訊管理學類,0107
,050,實踐大學,資訊科技與管理學系,資訊學群,資訊管理學類,0107
,050,實踐大學,資訊管理學系,資訊學群,資訊管理學類,0107
108172,108,慈濟大學,資訊科技與管理學系,資訊學群,資訊管理學類,0107
005242,005,東吳大學,資料科學系,資訊學群,資訊管理學類,0107
,005,東吳大學,資訊管理學系,資訊學群,資訊管理學類,0107
009262,009,東海大學,資訊管理學系,資訊學群,資訊管理學類,0107
014252,014,淡江大學,資訊管理學系,資訊學群,資訊管理學類,0107
,045,義守大學,資訊管理學系,資訊學群,資訊管理學類,0107
,044,華梵大學,智慧生活科技學系,資訊學群,資訊管理學類,0107
,044,華梵大學,資訊管理學系,資訊學群,資訊管理學類,0107
020542,020,輔仁大學,資訊管理學系,資訊學群,資訊管理學類,0107
,046,銘傳大學,人工智慧應用暨管理學士學位學程,資訊學群,資訊管理學類,0107
